epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,125,0.029912469908595085,
,9.997533048548475e-05,126,,
1,,251,0.005636756774038076,
,9.990134628777144e-05,252,,
2,,377,,0.004329978954046965
2,,377,0.004979429300874472,
,9.9778120420331e-05,378,,
3,,503,0.004570862278342247,
,9.960577449221734e-05,504,,
4,,629,0.004307939670979977,
,9.938447858805392e-05,630,,
5,,755,,0.0038877101615071297
5,,755,0.004112071357667446,
,9.911445110018081e-05,756,,
6,,881,0.0038775044959038496,
,9.87959585131277e-05,882,,
7,,1007,0.0037929678801447153,
,9.842931514062592e-05,1008,,
8,,1133,,0.0034376762341707945
8,,1133,0.0037293904460966587,
,9.801488281541878e-05,1134,,
9,,1259,0.003648174460977316,
,9.755307053217622e-05,1260,,
10,,1385,0.0036597372964024544,
,9.704433404386652e-05,1386,,
11,,1511,,0.0033081788569688797
11,,1511,0.003526438493281603,
,9.648917541198313e-05,1512,,
12,,1637,0.003434582846239209,
,9.588814251107064e-05,1638,,
13,,1763,0.0034228384029120207,
,9.524182848803866e-05,1764,,
14,,1889,,0.003250769805163145
14,,1889,0.003314997535198927,
,9.455087117679747e-05,1890,,
15,,2015,0.0033513910602778196,
,9.381595246879297e-05,2016,,
16,,2141,0.0033078163396567106,
,9.303779764006218e-05,2142,,
17,,2267,,0.003162088803946972
17,,2267,0.003278738120570779,
,9.221717463547327e-05,2268,,
18,,2393,0.003256388707086444,
,9.135489331085674e-05,2394,,
19,,2519,0.0032022781670093536,
,9.045180463377552e-05,2520,,
20,,2645,,0.0031275551300495863
20,,2645,0.003207625588402152,
,8.950879984372265e-05,2646,,
21,,2771,0.003218455705791712,
,8.85268095725756e-05,2772,,
22,,2897,0.0031844645272940397,
,8.750680292617485e-05,2898,,
23,,3023,,0.0030649155378341675
23,,3023,0.0031329100020229816,
,8.644978652793349e-05,3024,,
24,,3149,0.0031633044127374887,
