epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,14,0.8178077340126038,
,9.972612215893683e-05,15,,
1,,29,0.2947072982788086,
,9.890748929868662e-05,30,,
2,,44,,0.15385623276233673
2,,44,0.15511482954025269,
,9.755307053217622e-05,45,,
3,,59,0.10754284262657166,
,9.567770515484182e-05,60,,
4,,74,0.09159162640571594,
,9.330194006220303e-05,75,,
5,,89,,0.05452645197510719
5,,89,0.08157176524400711,
,9.045180463377551e-05,90,,
6,,104,0.07152090221643448,
,8.715852554974232e-05,105,,
7,,119,0.0676390677690506,
,8.345818466491112e-05,120,,
8,,134,,0.052792467176914215
8,,134,0.060491010546684265,
,7.939132368836219e-05,135,,
9,,149,0.05830296501517296,
,7.500249999999999e-05,150,,
10,,164,0.05519505962729454,
,7.033979847057463e-05,165,,
11,,179,,0.051953576505184174
11,,179,0.05320742353796959,
,6.54543046337755e-05,180,,
12,,194,0.05076273903250694,
,6.039954498243388e-05,195,,
13,,209,0.048006512224674225,
,5.5230900521066344e-05,210,,
14,,224,,0.06514403223991394
14,,224,0.045158546417951584,
,5.000500000000001e-05,225,,
15,,239,0.044471390545368195,
,4.4779099478933676e-05,240,,
16,,254,0.043149471282958984,
,3.961045501756612e-05,255,,
17,,269,,0.08617321401834488
17,,269,0.0429702028632164,
,3.455569536622451e-05,270,,
18,,284,0.041050493717193604,
,2.967020152942538e-05,285,,
19,,299,0.040422648191452026,
,2.5007500000000014e-05,300,,
20,,314,,0.08255057036876678
20,,314,0.03877947852015495,
,2.0618676311637815e-05,315,,
21,,329,0.03965499624609947,
,1.6551815335088904e-05,330,,
22,,344,0.03807998448610306,
,1.285147445025769e-05,345,,
23,,359,,0.10899730771780014
23,,359,0.03934577852487564,
,9.558195366224511e-06,360,,
24,,374,0.03795577213168144,
,6.7080599377969894e-06,375,,
25,,389,0.038996562361717224,
,4.3322948451581655e-06,390,,
26,,404,,0.07427740097045898
26,,404,0.03783063590526581,
,2.4569294678237997e-06,405,,
27,,419,0.03865946829319,
,1.1025107013133848e-06,420,,
28,,434,0.0376836434006691,
,2.838778410631714e-07,435,,
29,,449,,0.08041109144687653
29,,449,0.038340501487255096,
,1e-08,450,,
30,,464,0.038203343749046326,
,2.8387784106317693e-07,465,,
31,,479,0.0379951074719429,
,1.1025107013134068e-06,480,,
32,,494,,0.10069643706083298
32,,494,0.03863188996911049,
,2.4569294678238433e-06,495,,
33,,509,0.03887401521205902,
,4.332294845158257e-06,510,,
34,,524,0.038031794130802155,
,6.7080599377971165e-06,525,,
35,,539,,0.06025167182087898
35,,539,0.03760768100619316,
,9.558195366224689e-06,540,,
36,,554,0.03841886296868324,
,1.2851474450257933e-05,555,,
37,,569,0.03734380379319191,
,1.6551815335089206e-05,570,,
38,,584,,0.09178798645734787
38,,584,0.03582308441400528,
,2.0618676311638218e-05,585,,
39,,599,0.03563578054308891,
,2.5007500000000485e-05,600,,
40,,614,0.03604162484407425,
,2.967020152942594e-05,615,,
41,,629,,0.07371144741773605
41,,629,0.034386470913887024,
,3.4555695366225196e-05,630,,
42,,644,0.03444980829954147,
,3.96104550175669e-05,645,,
43,,659,0.033388651907444,
,4.477909947893454e-05,660,,
44,,674,,0.14648225903511047
44,,674,0.03333328664302826,
,5.000500000000101e-05,675,,
45,,689,0.03252546116709709,
