epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,13,0.2239803522825241,
,9.972612215893683e-05,14,,
1,,27,0.06367077678442001,
,9.890748929868662e-05,28,,
2,,41,,0.07064507901668549
2,,41,0.033750440925359726,
,9.755307053217622e-05,42,,
3,,55,0.024689102545380592,
,9.567770515484182e-05,56,,
4,,69,0.020223606377840042,
,9.330194006220303e-05,70,,
5,,83,,0.014895549975335598
5,,83,0.01704998128116131,
,9.045180463377551e-05,84,,
6,,97,0.014882653951644897,
,8.715852554974232e-05,98,,
7,,111,0.013646758161485195,
,8.345818466491112e-05,112,,
8,,125,,0.01103628147393465
8,,125,0.01273627020418644,
,7.939132368836219e-05,126,,
9,,139,0.011822071857750416,
,7.500249999999999e-05,140,,
10,,153,0.010965668596327305,
,7.033979847057463e-05,154,,
11,,167,,0.0097227543592453
11,,167,0.010636534541845322,
,6.54543046337755e-05,168,,
12,,181,0.010392478667199612,
,6.039954498243388e-05,182,,
13,,195,0.00989583134651184,
,5.5230900521066344e-05,196,,
14,,209,,0.008897721767425537
14,,209,0.010051277466118336,
,5.000500000000001e-05,210,,
15,,223,0.00947359949350357,
,4.4779099478933676e-05,224,,
16,,237,0.009392579086124897,
,3.961045501756612e-05,238,,
17,,251,,0.008253918960690498
17,,251,0.009417802095413208,
,3.455569536622451e-05,252,,
18,,265,0.009129492565989494,
,2.967020152942538e-05,266,,
19,,279,0.0090149762108922,
,2.5007500000000014e-05,280,,
20,,293,,0.00800524652004242
20,,293,0.008884293958544731,
,2.0618676311637815e-05,294,,
21,,307,0.008861642330884933,
,1.6551815335088904e-05,308,,
22,,321,0.008781255222856998,
,1.285147445025769e-05,322,,
23,,335,,0.007909814827144146
23,,335,0.008587182499468327,
,9.558195366224511e-06,336,,
24,,349,0.00879581831395626,
,6.7080599377969894e-06,350,,
25,,363,0.00866504292935133,
,4.3322948451581655e-06,364,,
26,,377,,0.007774834521114826
26,,377,0.008692808449268341,
,2.4569294678237997e-06,378,,
27,,391,0.008452413603663445,
,1.1025107013133848e-06,392,,
28,,405,0.008466885425150394,
,2.838778410631714e-07,406,,
29,,419,,0.007782715372741222
29,,419,0.008617063984274864,
,1e-08,420,,
30,,433,0.008456969633698463,
,2.8387784106317693e-07,434,,
31,,447,0.00855516828596592,
,1.1025107013134068e-06,448,,
32,,461,,0.007662860210984945
32,,461,0.008515800349414349,
,2.4569294678238433e-06,462,,
33,,475,0.008543666452169418,
,4.332294845158257e-06,476,,
34,,489,0.008515949361026287,
,6.7080599377971165e-06,490,,
35,,503,,0.007741840090602636
35,,503,0.008718382567167282,
,9.558195366224689e-06,504,,
36,,517,0.008500519208610058,
,1.2851474450257933e-05,518,,
37,,531,0.008428373374044895,
,1.6551815335089206e-05,532,,
38,,545,,0.007774340454488993
38,,545,0.008495434187352657,
,2.0618676311638218e-05,546,,
39,,559,0.008359228260815144,
,2.5007500000000485e-05,560,,
40,,573,0.008313478901982307,
,2.967020152942594e-05,574,,
41,,587,,0.007593407761305571
41,,587,0.008157630451023579,
,3.4555695366225196e-05,588,,
42,,601,0.008135114796459675,
,3.96104550175669e-05,602,,
43,,615,0.007989231497049332,
,4.477909947893454e-05,616,,
44,,629,,0.007410239428281784
44,,629,0.007985260337591171,
,5.000500000000101e-05,630,,
45,,643,0.007819369435310364,
,5.523090052106744e-05,644,,
46,,657,0.007649044971913099,
,6.039954498243512e-05,658,,
47,,671,,0.0069539244286715984
47,,671,0.007667609956115484,
,6.545430463377682e-05,672,,
48,,685,0.007443929091095924,
,7.033979847057604e-05,686,,
49,,699,0.0072804223746061325,
,7.500250000000152e-05,700,,
50,,713,,0.006511079613119364
50,,713,0.007262212689965963,
,7.939132368836379e-05,714,,
51,,727,0.007166705559939146,
,8.345818466491281e-05,728,,
52,,741,0.006942043546587229,
,8.715852554974407e-05,742,,
53,,755,,0.00661150086671114
53,,755,0.006967488676309586,
,9.045180463377732e-05,756,,
54,,769,0.006792072672396898,
,9.33019400622049e-05,770,,
55,,783,0.006843893323093653,
,9.567770515484376e-05,784,,
56,,797,,0.006165116559714079
56,,797,0.006764153018593788,
,9.755307053217817e-05,798,,
57,,811,0.006622374523431063,
,9.890748929868861e-05,812,,
58,,825,0.006548753008246422,
,9.972612215893884e-05,826,,
59,,839,,0.006021149922162294
59,,839,0.006372658535838127,
,0.00010000000000000202,840,,
60,,853,0.006251384504139423,
,9.972612215893885e-05,854,,
61,,867,0.006367681082338095,
,9.890748929868861e-05,868,,
62,,881,,0.005829320754855871
62,,881,0.006111375521868467,
,9.755307053217818e-05,882,,
63,,895,0.006234590895473957,
,9.567770515484379e-05,896,,
64,,909,0.00623052753508091,
,9.330194006220493e-05,910,,
65,,923,,0.005583593156188726
65,,923,0.006219217553734779,
,9.045180463377734e-05,924,,
66,,937,0.005966614466160536,
,8.715852554974411e-05,938,,
67,,951,0.006017699837684631,
,8.345818466491282e-05,952,,
68,,965,,0.005495919380337
68,,965,0.005893424618989229,
,7.939132368836383e-05,966,,
69,,979,0.0057765464298427105,
,7.500250000000155e-05,980,,
70,,993,0.005758971441537142,
,7.033979847057607e-05,994,,
71,,1007,,0.005387786775827408
71,,1007,0.005695188418030739,
,6.545430463377685e-05,1008,,
72,,1021,0.005832485854625702,
,6.0399544982435145e-05,1022,,
73,,1035,0.005688932258635759,
,5.523090052106747e-05,1036,,
74,,1049,,0.005256954114884138
74,,1049,0.005671021528542042,
,5.0005000000001037e-05,1050,,
75,,1063,0.005745424889028072,
,4.477909947893461e-05,1064,,
76,,1077,0.005706590134650469,
,3.961045501756697e-05,1078,,
77,,1091,,0.005225148983299732
77,,1091,0.0057424521073699,
,3.4555695366225216e-05,1092,,
78,,1105,0.005701005458831787,
,2.967020152942596e-05,1106,,
79,,1119,0.00555138336494565,
,2.5007500000000543e-05,1120,,
80,,1133,,0.005335955880582333
80,,1133,0.005535780917853117,
,2.061867631163823e-05,1134,,
81,,1147,0.005532959010452032,
,1.655181533508927e-05,1148,,
82,,1161,0.0056906347163021564,
,1.2851474450257905e-05,1162,,
83,,1175,,0.0050949957221746445
83,,1175,0.005409463308751583,
,9.558195366224706e-06,1176,,
84,,1189,0.005448070354759693,
,6.7080599377971165e-06,1190,,
85,,1203,0.005599805619567633,
,4.332294845158274e-06,1204,,
86,,1217,,0.005204053595662117
86,,1217,0.0055600968189537525,
,2.4569294678238543e-06,1218,,
87,,1231,0.005559953395277262,
,1.1025107013134234e-06,1232,,
88,,1245,0.0055945441126823425,
,2.8387784106317693e-07,1246,,
89,,1259,,0.005122896283864975
89,,1259,0.005532229784876108,
,1e-08,1260,,
90,,1273,0.005471569951623678,
,2.8387784106317693e-07,1274,,
91,,1287,0.005780335050076246,
,1.102510701313379e-06,1288,,
92,,1301,,0.004969552159309387
92,,1301,0.005535436328500509,
,2.4569294678237937e-06,1302,,
93,,1315,0.005383036565035582,
,4.332294845158176e-06,1316,,
94,,1329,0.005773614626377821,
,6.70805993779701e-06,1330,,
95,,1343,,0.005309596192091703
95,,1343,0.0054788230918347836,
,9.558195366224492e-06,1344,,
96,,1357,0.005567000713199377,
,1.2851474450257627e-05,1358,,
97,,1371,0.005604288540780544,
,1.6551815335088854e-05,1372,,
98,,1385,,0.005384049843996763
98,,1385,0.005462429020553827,
,2.0618676311637794e-05,1386,,
99,,1399,0.005533314775675535,
,2.5007500000000018e-05,1400,,
100,,1413,0.005404101684689522,
,2.9670201529425332e-05,1414,,
101,,1427,,0.005010900553315878
101,,1427,0.005581658333539963,
,3.455569536622449e-05,1428,,
102,,1441,0.005438807886093855,
,3.9610455017566054e-05,1442,,
103,,1455,0.005302831530570984,
,4.4779099478933716e-05,1456,,
104,,1469,,0.0051065124571323395
104,,1469,0.005411555990576744,
,5.000499999999999e-05,1470,,
105,,1483,0.005470923613756895,
,5.523090052106635e-05,1484,,
106,,1497,0.005455952137708664,
,6.039954498243384e-05,1498,,
107,,1511,,0.005050063598901033
107,,1511,0.005432591307908297,
,6.545430463377548e-05,1512,,
108,,1525,0.005322987213730812,
,7.033979847057456e-05,1526,,
109,,1539,0.005437552463263273,
,7.500250000000003e-05,1540,,
110,,1553,,0.005017853807657957
110,,1553,0.0054336246103048325,
,7.939132368836218e-05,1554,,
111,,1567,0.00529915327206254,
,8.345818466491112e-05,1568,,
112,,1581,0.005335974972695112,
,8.715852554974228e-05,1582,,
113,,1595,,0.0049859387800097466
113,,1595,0.005310249514877796,
,9.045180463377547e-05,1596,,
114,,1609,0.005209086928516626,
,9.3301940062203e-05,1610,,
115,,1623,0.0051627205684781075,
,9.567770515484184e-05,1624,,
116,,1637,,0.004653684329241514
116,,1637,0.005204482469707727,
,9.755307053217619e-05,1638,,
117,,1651,0.0053375703282654285,
,9.89074892986866e-05,1652,,
118,,1665,0.005135601852089167,
,9.97261221589368e-05,1666,,
119,,1679,,0.00485020549967885
119,,1679,0.0050795977003872395,
,9.999999999999999e-05,1680,,
120,,1693,0.0051259566098451614,
,9.972612215893682e-05,1694,,
121,,1707,0.00510541582480073,
,9.890748929868662e-05,1708,,
122,,1721,,0.004690641537308693
122,,1721,0.005205214489251375,
,9.75530705321762e-05,1722,,
123,,1735,0.005082507152110338,
,9.567770515484187e-05,1736,,
124,,1749,0.005037493072450161,
,9.330194006220304e-05,1750,,
125,,1763,,0.004718943033367395
125,,1763,0.00510806031525135,
,9.045180463377551e-05,1764,,
126,,1777,0.005444174632430077,
,8.715852554974231e-05,1778,,
127,,1791,0.005465744994580746,
,8.345818466491116e-05,1792,,
128,,1805,,0.004804802592843771
128,,1805,0.005321657285094261,
,7.93913236883622e-05,1806,,
129,,1819,0.005051140673458576,
,7.500250000000006e-05,1820,,
130,,1833,0.005102124065160751,
,7.03397984705746e-05,1834,,
131,,1847,,0.004587666131556034
131,,1847,0.005104204174131155,
,6.545430463377552e-05,1848,,
132,,1861,0.00506739504635334,
,6.039954498243388e-05,1862,,
133,,1875,0.005113629624247551,
,5.52309005210664e-05,1876,,
134,,1889,,0.004580623470246792
134,,1889,0.0049326466396451,
,5.000500000000003e-05,1890,,
135,,1903,0.004866111092269421,
,4.477909947893366e-05,1904,,
136,,1917,0.005052734632045031,
,3.9610455017566094e-05,1918,,
137,,1931,,0.004511384293437004
137,,1931,0.005065889097750187,
,3.455569536622453e-05,1932,,
138,,1945,0.00493224710226059,
,2.9670201529425376e-05,1946,,
139,,1959,0.005058228503912687,
,2.500750000000005e-05,1960,,
140,,1973,,0.004414955619722605
140,,1973,0.004955968353897333,
,2.0618676311637828e-05,1974,,
141,,1987,0.0049910773523151875,
,1.6551815335088884e-05,1988,,
142,,2001,0.004923255182802677,
,1.2851474450257652e-05,2002,,
143,,2015,,0.0044921082444489
143,,2015,0.005072341300547123,
,9.55819536622452e-06,2016,,
144,,2029,0.0050043282099068165,
,6.708059937797037e-06,2030,,
145,,2043,0.004973378032445908,
,4.332294845158192e-06,2044,,
146,,2057,,0.004599033389240503
146,,2057,0.004862959962338209,
,2.4569294678238043e-06,2058,,
147,,2071,0.004803621210157871,
,1.1025107013133844e-06,2072,,
148,,2085,0.004777608439326286,
,2.838778410631824e-07,2086,,
149,,2099,,0.00466569559648633
149,,2099,0.005088225472718477,
,1e-08,2100,,
150,,2113,0.004859434440732002,
,2.8387784106317693e-07,2114,,
151,,2127,0.004757765680551529,
,1.1025107013134179e-06,2128,,
152,,2141,,0.004613563884049654
152,,2141,0.005041925236582756,
,2.4569294678239153e-06,2142,,
153,,2155,0.00482903653755784,
,4.332294845158307e-06,2156,,
154,,2169,0.004797849804162979,
,6.708059937797232e-06,2170,,
155,,2183,,0.004443203564733267
155,,2183,0.004820666275918484,
,9.558195366224875e-06,2184,,
156,,2197,0.004842126742005348,
,1.28514744502582e-05,2198,,
157,,2211,0.004817752633243799,
