epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,125,0.04535658285021782,
,9.972612215893683e-05,126,,
1,,251,0.00821351446211338,
,9.890748929868662e-05,252,,
2,,377,,0.0059776874259114265
2,,377,0.0065346695482730865,
,9.755307053217622e-05,378,,
3,,503,0.005842298269271851,
,9.567770515484182e-05,504,,
4,,629,0.005447958130389452,
,9.330194006220303e-05,630,,
5,,755,,0.00488297501578927
5,,755,0.005236637778580189,
,9.045180463377551e-05,756,,
6,,881,0.004943312145769596,
,8.715852554974232e-05,882,,
7,,1007,0.004829131066799164,
,8.345818466491112e-05,1008,,
8,,1133,,0.00444974796846509
8,,1133,0.004719293676316738,
,7.939132368836219e-05,1134,,
9,,1259,0.0045656501315534115,
,7.500249999999999e-05,1260,,
10,,1385,0.004544002469629049,
,7.033979847057463e-05,1386,,
11,,1511,,0.004155539907515049
11,,1511,0.004442023113369942,
,6.54543046337755e-05,1512,,
12,,1637,0.004251670558005571,
,6.039954498243388e-05,1638,,
13,,1763,0.004273037891834974,
,5.5230900521066344e-05,1764,,
14,,1889,,0.003971362952142954
14,,1889,0.004170849919319153,
,5.000500000000001e-05,1890,,
15,,2015,0.004101683385670185,
,4.4779099478933676e-05,2016,,
16,,2141,0.004030978307127953,
,3.961045501756612e-05,2142,,
17,,2267,,0.0038024778477847576
17,,2267,0.00403217226266861,
,3.455569536622451e-05,2268,,
18,,2393,0.003927099052816629,
,2.967020152942538e-05,2394,,
19,,2519,0.0039533027447760105,
,2.5007500000000014e-05,2520,,
20,,2645,,0.0037548148538917303
20,,2645,0.003966703545302153,
,2.0618676311637815e-05,2646,,
21,,2771,0.0038453424349427223,
,1.6551815335088904e-05,2772,,
22,,2897,0.003851154586300254,
,1.285147445025769e-05,2898,,
23,,3023,,0.003692161524668336
23,,3023,0.003864472033455968,
,9.558195366224511e-06,3024,,
24,,3149,0.0038497631903737783,
,6.7080599377969894e-06,3150,,
25,,3275,0.003800757462158799,
,4.3322948451581655e-06,3276,,
26,,3401,,0.003663270268589258
26,,3401,0.0037835596594959497,
,2.4569294678237997e-06,3402,,
27,,3527,0.0037729039322584867,
,1.1025107013133848e-06,3528,,
28,,3653,0.0037841503508388996,
,2.838778410631714e-07,3654,,
29,,3779,,0.0036767341662198305
29,,3779,0.0037827868945896626,
,1e-08,3780,,
30,,3905,0.003793281503021717,
,2.8387784106317693e-07,3906,,
31,,4031,0.0037977134343236685,
,1.1025107013134068e-06,4032,,
32,,4157,,0.003668766235932708
32,,4157,0.0037903503980487585,
,2.4569294678238433e-06,4158,,
33,,4283,0.0038099188823252916,
,4.332294845158257e-06,4284,,
34,,4409,0.00377085292711854,
,6.7080599377971165e-06,4410,,
35,,4535,,0.0036601927131414413
35,,4535,0.003784984117373824,
,9.558195366224689e-06,4536,,
36,,4661,0.0037672179751098156,
,1.2851474450257933e-05,4662,,
37,,4787,0.003739172127097845,
,1.6551815335089206e-05,4788,,
38,,4913,,0.003544917330145836
38,,4913,0.0037817745469510555,
,2.0618676311638218e-05,4914,,
39,,5039,0.003717223182320595,
,2.5007500000000485e-05,5040,,
40,,5165,0.003705468960106373,
,2.967020152942594e-05,5166,,
41,,5291,,0.0035455708857625723
41,,5291,0.0037333634681999683,
,3.4555695366225196e-05,5292,,
42,,5417,0.0036585554480552673,
,3.96104550175669e-05,5418,,
43,,5543,0.0036525786854326725,
,4.477909947893454e-05,5544,,
44,,5669,,0.0034158919006586075
44,,5669,0.0035868603736162186,
,5.000500000000101e-05,5670,,
45,,5795,0.0035843178629875183,
,5.523090052106744e-05,5796,,
46,,5921,0.003497551428154111,
,6.039954498243512e-05,5922,,
47,,6047,,0.0033548730425536633
47,,6047,0.0034872086253017187,
,6.545430463377682e-05,6048,,
48,,6173,0.003463535103946924,
,7.033979847057604e-05,6174,,
49,,6299,0.0034623376559466124,
,7.500250000000152e-05,6300,,
50,,6425,,0.0032561521511524916
50,,6425,0.003376828972250223,
,7.939132368836379e-05,6426,,
51,,6551,0.003383187111467123,
,8.345818466491281e-05,6552,,
52,,6677,0.0033437402453273535,
,8.715852554974407e-05,6678,,
53,,6803,,0.0031699349638074636
53,,6803,0.003331802785396576,
,9.045180463377732e-05,6804,,
54,,6929,0.003289767075330019,
,9.33019400622049e-05,6930,,
55,,7055,0.003263765014708042,
,9.567770515484376e-05,7056,,
56,,7181,,0.0031089317053556442
56,,7181,0.0032170997001230717,
,9.755307053217817e-05,7182,,
57,,7307,0.0032410738058388233,
,9.890748929868861e-05,7308,,
58,,7433,0.0031827723141759634,
,9.972612215893884e-05,7434,,
59,,7559,,0.0031253837514668703
59,,7559,0.003185743698850274,
,0.00010000000000000202,7560,,
60,,7685,0.0031509059481322765,
,9.972612215893885e-05,7686,,
61,,7811,0.0031402655877172947,
,9.890748929868861e-05,7812,,
62,,7937,,0.003029904793947935
62,,7937,0.0031045095529407263,
,9.755307053217818e-05,7938,,
63,,8063,0.0030888342298567295,
,9.567770515484379e-05,8064,,
64,,8189,0.003069002879783511,
,9.330194006220493e-05,8190,,
65,,8315,,0.002974653849378228
65,,8315,0.0030686398968100548,
,9.045180463377734e-05,8316,,
66,,8441,0.0030441060662269592,
,8.715852554974411e-05,8442,,
67,,8567,0.003070642240345478,
