epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,9,0.7412292957305908,
,9.972612215893683e-05,10,,
1,,19,0.6818787455558777,
,9.890748929868662e-05,20,,
2,,29,,0.6702387928962708
2,,29,0.6489600539207458,
,9.755307053217622e-05,30,,
3,,39,0.6252884268760681,
,9.567770515484182e-05,40,,
4,,49,0.6074061393737793,
,9.330194006220303e-05,50,,
5,,59,,0.5909013152122498
5,,59,0.5921000242233276,
,9.045180463377551e-05,60,,
6,,69,0.5811336040496826,
,8.715852554974232e-05,70,,
7,,79,0.5730080008506775,
,8.345818466491112e-05,80,,
8,,89,,0.5597519278526306
8,,89,0.5647215247154236,
,7.939132368836219e-05,90,,
9,,99,0.5583437085151672,
,7.500249999999999e-05,100,,
10,,109,0.5499194860458374,
,7.033979847057463e-05,110,,
11,,119,,0.5415979027748108
11,,119,0.5453718304634094,
,6.54543046337755e-05,120,,
12,,129,0.5386142134666443,
,6.039954498243388e-05,130,,
13,,139,0.534993052482605,
,5.5230900521066344e-05,140,,
14,,149,,0.5244854688644409
14,,149,0.5295723080635071,
,5.000500000000001e-05,150,,
15,,159,0.5267953276634216,
,4.4779099478933676e-05,160,,
16,,169,0.5256046652793884,
,3.961045501756612e-05,170,,
17,,179,,0.5138180255889893
17,,179,0.5217461585998535,
,3.455569536622451e-05,180,,
18,,189,0.5195457935333252,
,2.967020152942538e-05,190,,
19,,199,0.5171991586685181,
,2.5007500000000014e-05,200,,
20,,209,,0.506270170211792
20,,209,0.5160003304481506,
,2.0618676311637815e-05,210,,
21,,219,0.5150259137153625,
,1.6551815335088904e-05,220,,
22,,229,0.5136664509773254,
,1.285147445025769e-05,230,,
23,,239,,0.5082946419715881
23,,239,0.5127852559089661,
,9.558195366224511e-06,240,,
24,,249,0.5126180052757263,
,6.7080599377969894e-06,250,,
25,,259,0.5116021037101746,
,4.3322948451581655e-06,260,,
26,,269,,0.5031937956809998
26,,269,0.5118392109870911,
,2.4569294678237997e-06,270,,
27,,279,0.5124852061271667,
,1.1025107013133848e-06,280,,
28,,289,0.5119824409484863,
,2.838778410631714e-07,290,,
29,,299,,0.5019147992134094
29,,299,0.5115729570388794,
,1e-08,300,,
30,,309,0.5118427872657776,
,2.8387784106317693e-07,310,,
31,,319,0.5114020109176636,
,1.1025107013134068e-06,320,,
32,,329,,0.5032883882522583
32,,329,0.5111775994300842,
,2.4569294678238433e-06,330,,
33,,339,0.5113070607185364,
,4.332294845158257e-06,340,,
34,,349,0.5104218125343323,
,6.7080599377971165e-06,350,,
35,,359,,0.5034082531929016
35,,359,0.5113509297370911,
,9.558195366224689e-06,360,,
36,,369,0.5109297037124634,
,1.2851474450257933e-05,370,,
37,,379,0.5100198984146118,
,1.6551815335089206e-05,380,,
38,,389,,0.5030531883239746
38,,389,0.5100803971290588,
,2.0618676311638218e-05,390,,
39,,399,0.509312629699707,
,2.5007500000000485e-05,400,,
40,,409,0.508804440498352,
,2.967020152942594e-05,410,,
41,,419,,0.5060404539108276
41,,419,0.5074583292007446,
,3.4555695366225196e-05,420,,
42,,429,0.5075387954711914,
,3.96104550175669e-05,430,,
43,,439,0.5052384734153748,
,4.477909947893454e-05,440,,
44,,449,,0.5077600479125977
44,,449,0.5050359964370728,
,5.000500000000101e-05,450,,
45,,459,0.5028160810470581,
,5.523090052106744e-05,460,,
46,,469,0.502683699131012,
,6.039954498243512e-05,470,,
47,,479,,0.4963187873363495
47,,479,0.5009976029396057,
,6.545430463377682e-05,480,,
48,,489,0.49851706624031067,
,7.033979847057604e-05,490,,
49,,499,0.49712562561035156,
,7.500250000000152e-05,500,,
50,,509,,0.497406005859375
50,,509,0.4950374960899353,
,7.939132368836379e-05,510,,
51,,519,0.49435755610466003,
,8.345818466491281e-05,520,,
52,,529,0.49138882756233215,
,8.715852554974407e-05,530,,
53,,539,,0.4821169078350067
53,,539,0.49016281962394714,
,9.045180463377732e-05,540,,
54,,549,0.4874776303768158,
,9.33019400622049e-05,550,,
55,,559,0.48568496108055115,
,9.567770515484376e-05,560,,
56,,569,,0.48606637120246887
56,,569,0.48330551385879517,
,9.755307053217817e-05,570,,
57,,579,0.480618417263031,
,9.890748929868861e-05,580,,
58,,589,0.47845786809921265,
,9.972612215893884e-05,590,,
59,,599,,0.4577118158340454
59,,599,0.47455528378486633,
,0.00010000000000000202,600,,
60,,609,0.4726856052875519,
