epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,9,0.7415837049484253,
,9.997533048548475e-05,10,,
1,,19,0.6771039366722107,
,9.990134628777144e-05,20,,
2,,29,,0.6660236716270447
2,,29,0.6457862854003906,
,9.9778120420331e-05,30,,
3,,39,0.6209274530410767,
,9.960577449221734e-05,40,,
4,,49,0.6036352515220642,
,9.938447858805392e-05,50,,
5,,59,,0.5863559246063232
5,,59,0.5880945324897766,
,9.911445110018081e-05,60,,
6,,69,0.5779069066047668,
,9.87959585131277e-05,70,,
7,,79,0.5681170225143433,
,9.842931514062592e-05,80,,
8,,89,,0.5469200611114502
8,,89,0.5594435930252075,
,9.801488281541878e-05,90,,
9,,99,0.5507683753967285,
,9.755307053217622e-05,100,,
10,,109,0.542260468006134,
,9.704433404386652e-05,110,,
11,,119,,0.5175223350524902
11,,119,0.5373854041099548,
,9.648917541198313e-05,120,,
12,,129,0.5302262902259827,
,9.588814251107064e-05,130,,
13,,139,0.5260730385780334,
,9.524182848803866e-05,140,,
14,,149,,0.5111785531044006
14,,149,0.5221297144889832,
,9.455087117679747e-05,150,,
15,,159,0.5196452140808105,
,9.381595246879297e-05,160,,
16,,169,0.5162480473518372,
,9.303779764006218e-05,170,,
17,,179,,0.4985799193382263
17,,179,0.5122755765914917,
,9.221717463547327e-05,180,,
18,,189,0.5089341998100281,
,9.135489331085674e-05,190,,
19,,199,0.5061380863189697,
,9.045180463377552e-05,200,,
20,,209,,0.490932434797287
20,,209,0.5043404698371887,
,8.950879984372265e-05,210,,
21,,219,0.5015700459480286,
,8.85268095725756e-05,220,,
22,,229,0.4995897710323334,
,8.750680292617485e-05,230,,
23,,239,,0.48192355036735535
23,,239,0.4978586435317993,
,8.644978652793349e-05,240,,
24,,249,0.4946436285972595,
