epoch,lr-Adam,step,train_loss,val_loss
,0.0001,0,,
0,,9,0.7412291169166565,
,9.997533048548475e-05,10,,
1,,19,0.6818447709083557,
,9.990134628777144e-05,20,,
2,,29,,0.6701414585113525
2,,29,0.6488408446311951,
,9.9778120420331e-05,30,,
3,,39,0.6249769330024719,
,9.960577449221734e-05,40,,
4,,49,0.6067352890968323,
,9.938447858805392e-05,50,,
5,,59,,0.5892007350921631
5,,59,0.5910211801528931,
,9.911445110018081e-05,60,,
6,,69,0.5796043872833252,
,9.87959585131277e-05,70,,
7,,79,0.5710388422012329,
,9.842931514062592e-05,80,,
8,,89,,0.5554892420768738
8,,89,0.5619200468063354,
,9.801488281541878e-05,90,,
9,,99,0.555131733417511,
,9.755307053217622e-05,100,,
10,,109,0.5459879040718079,
,9.704433404386652e-05,110,,
11,,119,,0.5371504426002502
11,,119,0.5393247008323669,
,9.648917541198313e-05,120,,
12,,129,0.5315693616867065,
,9.588814251107064e-05,130,,
13,,139,0.5274806618690491,
,9.524182848803866e-05,140,,
14,,149,,0.5182263851165771
14,,149,0.5214287638664246,
,9.455087117679747e-05,150,,
15,,159,0.5177062153816223,
,9.381595246879297e-05,160,,
16,,169,0.5154308676719666,
,9.303779764006218e-05,170,,
17,,179,,0.4998163878917694
17,,179,0.5110744833946228,
,9.221717463547327e-05,180,,
18,,189,0.5079110264778137,
,9.135489331085674e-05,190,,
19,,199,0.5046669840812683,
,9.045180463377552e-05,200,,
20,,209,,0.49487802386283875
20,,209,0.5020139217376709,
,8.950879984372265e-05,210,,
21,,219,0.4993669092655182,
,8.85268095725756e-05,220,,
22,,229,0.4966377913951874,
,8.750680292617485e-05,230,,
23,,239,,0.48910602927207947
23,,239,0.4950490891933441,
,8.644978652793349e-05,240,,
24,,249,0.49304962158203125,
,8.535680352542147e-05,250,,
25,,259,0.48935002088546753,
,8.422893256090482e-05,260,,
26,,269,,0.49675193428993225
26,,269,0.4877934753894806,
,8.3067286706856e-05,270,,
27,,279,0.4862697422504425,
,8.187301236748577e-05,280,,
28,,289,0.4840396046638489,
,8.064728814738059e-05,290,,
29,,299,,0.4674725830554962
29,,299,0.482094407081604,
,7.939132368836223e-05,300,,
30,,309,0.4793468117713928,
,7.81063584757173e-05,310,,
31,,319,0.47708043456077576,
,7.679366061497496e-05,320,,
32,,329,,0.4636222720146179
32,,329,0.4757433235645294,
,7.545452558043985e-05,330,,
33,,339,0.47336408495903015,
,7.409027493671528e-05,340,,
34,,349,0.4714060127735138,
,7.270225503447867e-05,350,,
35,,359,,0.4568398892879486
35,,359,0.46974241733551025,
,7.129183568179584e-05,360,,
36,,369,0.46834513545036316,
,6.986040879228588e-05,370,,
37,,379,0.46626514196395874,
,6.840938701147052e-05,380,,
38,,389,,0.45068469643592834
38,,389,0.4651535749435425,
,6.694020232266339e-05,390,,
39,,399,0.4621945917606354,
,6.545430463377554e-05,400,,
40,,409,0.4617341160774231,
,6.395316034643131e-05,410,,
41,,419,,0.44949862360954285
41,,419,0.4601430296897888,
,6.243825090880694e-05,420,,
42,,429,0.4593372046947479,
,6.091107135362019e-05,430,,
43,,439,0.4575101137161255,
,5.937312882271335e-05,440,,
44,,449,,0.44143691658973694
44,,449,0.4557301998138428,
,5.782594107968638e-05,450,,
45,,459,0.4549168348312378,
,5.627103501204744e-05,460,,
46,,469,0.45316359400749207,
,5.4709945124359154e-05,470,,
47,,479,,0.4331609308719635
47,,479,0.45181310176849365,
,5.314421202386806e-05,480,,
48,,489,0.4503711462020874,
,5.1575380900111053e-05,490,,
49,,499,0.4494588077068329,
,5.000500000000003e-05,500,,
50,,509,,0.43357789516448975
50,,509,0.44800999760627747,
,4.8434619099889e-05,510,,
51,,519,0.4477401673793793,
,4.6865787976132e-05,520,,
52,,529,0.4451952278614044,
,4.53000548756409e-05,530,,
53,,539,,0.4334060847759247
53,,539,0.44472116231918335,
,4.373896498795264e-05,540,,
54,,549,0.44424739480018616,
,4.218405892031368e-05,550,,
